"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"QRQRQR${REFERENCE}";"httpsscstudios.tech";1;"https://scstudios.tech";;;
2;"J2";"PinHeader_2x15_P1.00mm_Horizontal";1;"Conn_02x15_Counter_Clockwise";;;
3;"D36,D38,D5,D148,D3,D114,D25,D26,D115,D56,D4,D139,D63,D150,D42,D48,D60,D99,D58,D71,D152,D1,D111,D16,D123,D18,D98,D70,D84,D55,D11,D19,D97,D2,D137,D62,D43,D37,D164,D35,D109,D116,D151,D69,D17,D127,D34,D13,D14,D121,D113,D138,D85,D39,D75,D112,D126,D31,D73,D51,D87,D44,D106,D21,D29,D72,D163,D107,D86,D7,D22,D140,D125,D23,D27,D108,D59,D149,D32,D124,D61,D128,D33,D8,D9,D122,D12,D41,D83,D15,D57,D30,D28,D20,D10,D74,D120,D6,D47,D45,D24,D49,D135,D50,D162,D110,D46,D136,D134";"LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm";109;"~";;;
4;"C16,C11,C22,C1,C9,C20,C25,C14,C19,C12,C21,C23,C17,C10,C2,C13,C5,C18,C3,C4,C24,C15,C6,C26,C7,C8";"C_0603_1608Metric";26;"0.1uF";;;
5;"SW5,SW6,SW3,SW2,SW4,SW1";"SW_Push_1P1T_NO_CK_KMR2";6;"SW_Push";;;
6;"J1";"BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal";1;"Barrel_Jack";;;
7;"SW8,SW9,SW7";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin";3;"SW_SPST";;;
8;"R1";"R_0603_1608Metric";1;"47R";;;
9;"C27";"CP_Radial_D10.0mm_P5.00mm";1;"1000uF";;;
10;"A1";"RaspberryPi_Pico_W_SMD";1;"RaspberryPi_Pico_W";;;
