Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_W_SMD,1,RaspberryPi_Pico_W,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C3, C4, C5, C6, C7, C8, C9",0603,26,0.1uF,
C27,CP_Radial_D10.0mm_P5.00mm,1,1000uF,
"D1, D10, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D115, D116, D12, D120, D121, D122, D123, D124, D125, D126, D127, D128, D13, D134, D135, D136, D137, D138, D139, D14, D140, D148, D149, D15, D150, D151, D152, D16, D162, D163, D164, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D69, D7, D70, D71, D72, D73, D74, D75, D8, D83, D84, D85, D86, D87, D9, D97, D98, D99",LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,109,~,
J1,BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal,1,Barrel_Jack,
J2,PinHeader_2x15_P1.00mm_Horizontal,1,Conn_02x15_Counter_Clockwise,
QR${REFERENCE},httpsscstudios.tech,1,https://scstudios.tech,
R1,0603,1,47R,
"SW1, SW2, SW3, SW4, SW5, SW6",SW_Push_1P1T_NO_CK_KMR2,6,SW_Push,
"SW7, SW8, SW9",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,3,SW_SPST,
