Designator,Mid X,Mid Y,Rotation,Layer
A1,133.89,-113.15,180.0,top
C1,158.5,-79.275,90.0,top
C10,174.26,-111.5,90.0,top
C11,183.26,-119.1,90.0,top
C12,191.5,-127.1,90.0,top
C13,199.42,-135.6,90.0,top
C14,226.5,-135.725,270.0,top
C15,233.2,-127.0,270.0,top
C16,240.6,-119.0,270.0,top
C17,248.32,-111.225,270.0,top
C18,255.22,-103.0,270.0,top
C19,263.0,-95.225,270.0,top
C2,167.0,-71.0,90.0,top
C20,263.0,-87.5,270.0,top
C21,263.0,-79.0,270.0,top
C22,255.22,-70.775,270.0,top
C23,247.32,-62.775,270.0,top
C24,240.1,-55.275,270.0,top
C25,232.7,-47.5,270.0,top
C26,226.2,-39.225,270.0,top
C27,161.5,-53.5,0.0,top
C3,174.26,-63.775,90.0,top
C4,182.76,-54.875,90.0,top
C5,191.0,-47.6,90.0,top
C6,199.12,-39.325,90.0,top
C7,158.5,-87.5,90.0,top
C8,158.5,-95.5,90.0,top
C9,167.0,-103.725,90.0,top
D1,163.62,-87.45,90.0,top
D10,235.3,-86.95,90.0,top
D106,171.38,-71.45,90.0,top
D107,179.54,-71.45,90.0,top
D108,188.16,-71.05,90.0,top
D109,196.44,-71.05,90.0,top
D11,242.64,-86.95,90.0,top
D110,204.18,-71.05,90.0,top
D111,212.26,-70.95,90.0,top
D112,220.1,-70.95,90.0,top
D113,227.62,-70.95,90.0,top
D114,235.14,-70.95,90.0,top
D115,242.48,-70.95,90.0,top
D116,250.0,-70.95,90.0,top
D12,249.88,-86.95,90.0,top
D120,179.42,-63.45,90.0,top
D121,188.04,-63.05,90.0,top
D122,196.4,-63.05,90.0,top
D123,203.84,-63.05,90.0,top
D124,211.9,-63.05,90.0,top
D125,219.76,-62.95,90.0,top
D126,227.28,-62.95,90.0,top
D127,234.8,-62.95,90.0,top
D128,242.14,-62.95,90.0,top
D13,257.28,-86.95,90.0,top
D134,188.1,-55.05,90.0,top
D135,196.46,-55.05,90.0,top
D136,204.2,-55.05,90.0,top
D137,212.28,-54.95,90.0,top
D138,220.12,-54.95,90.0,top
D139,227.36,-54.95,90.0,top
D14,163.68,-95.45,90.0,top
D140,234.88,-54.95,90.0,top
D148,196.16,-47.45,90.0,top
D149,203.9,-47.45,90.0,top
D15,171.52,-95.45,90.0,top
D150,211.98,-47.35,90.0,top
D151,219.82,-47.35,90.0,top
D152,227.34,-47.35,90.0,top
D16,179.68,-95.45,90.0,top
D162,204.1,-39.45,90.0,top
D163,212.18,-39.35,90.0,top
D164,220.02,-39.35,90.0,top
D17,188.3,-95.05,90.0,top
D18,196.66,-95.05,90.0,top
D19,204.4,-95.05,90.0,top
D2,171.46,-87.45,90.0,top
D20,212.48,-94.95,90.0,top
D21,220.32,-94.95,90.0,top
D22,227.84,-94.95,90.0,top
D23,235.26,-95.0,90.0,top
D24,242.6,-95.0,90.0,top
D25,250.12,-95.0,90.0,top
D26,257.52,-95.0,90.0,top
D27,163.8,-79.45,90.0,top
D28,171.64,-79.45,90.0,top
D29,179.8,-79.45,90.0,top
D3,179.62,-87.45,90.0,top
D30,188.42,-79.05,90.0,top
D31,196.78,-79.05,90.0,top
D32,204.52,-79.05,90.0,top
D33,212.6,-78.95,90.0,top
D34,220.4,-78.95,90.0,top
D35,227.92,-78.95,90.0,top
D36,235.44,-78.95,90.0,top
D37,242.78,-78.95,90.0,top
D38,250.3,-78.95,90.0,top
D39,257.7,-78.95,90.0,top
D4,188.24,-87.05,90.0,top
D41,171.3,-103.45,90.0,top
D42,179.46,-103.45,90.0,top
D43,188.08,-103.05,90.0,top
D44,196.44,-103.05,90.0,top
D45,204.18,-103.05,90.0,top
D46,212.12,-102.95,90.0,top
D47,219.96,-102.95,90.0,top
D48,227.48,-102.95,90.0,top
D49,235.0,-102.95,90.0,top
D5,196.6,-87.05,90.0,top
D50,242.34,-102.95,90.0,top
D51,249.86,-102.95,90.0,top
D55,179.44,-111.5,90.0,top
D56,188.06,-111.1,90.0,top
D57,196.42,-111.1,90.0,top
D58,204.16,-111.1,90.0,top
D59,212.24,-111.0,90.0,top
D6,204.34,-87.05,90.0,top
D60,219.96,-111.05,90.0,top
D61,227.48,-111.05,90.0,top
D62,235.0,-111.05,90.0,top
D63,242.34,-111.05,90.0,top
D69,188.1,-119.1,90.0,top
D7,212.42,-86.95,90.0,top
D70,196.46,-119.1,90.0,top
D71,204.2,-119.1,90.0,top
D72,212.28,-119.0,90.0,top
D73,220.12,-119.0,90.0,top
D74,227.64,-119.0,90.0,top
D75,235.16,-119.0,90.0,top
D8,220.26,-86.95,90.0,top
D83,196.48,-127.15,90.0,top
D84,204.22,-127.15,90.0,top
D85,212.3,-127.05,90.0,top
D86,220.14,-127.05,90.0,top
D87,227.66,-127.05,90.0,top
D9,227.78,-86.95,90.0,top
D97,204.52,-135.65,90.0,top
D98,212.6,-135.55,90.0,top
D99,220.44,-135.55,90.0,top
J1,157.0,-123.59,90.0,top
J2,115.5,-122.5,180.0,top
QR${REFERENCE},121.0,-55.0,0.0,top
R1,192.175,-39.1,0.0,top
SW1,152.1,-105.05,0.0,top
SW2,152.1,-109.2,0.0,top
SW3,152.1,-113.2,0.0,top
SW4,158.5,-105.0,0.0,top
SW5,158.5,-113.2,0.0,top
SW6,158.55,-109.2,0.0,top
SW7,182.0,-130.91,90.0,top
SW8,173.135,-128.205,0.0,top
SW9,173.135,-134.0,0.0,top
